Network,Parameter,Dataset,Epoch,Device,Time cost(sec),Batch size,Lr,Best test acc
efficientnet_b0,"4,019,782",FashionMNIST,10,Quadro RTX 5000,2733.5,128,0.1,0.9269
efficientnet_b0,"4,019,782",FashionMNIST,10,Quadro RTX 5000,2990.4,64,0.1,0.9314
